	2	-0.812
#SPQuerColetivaCL	78	0.116700854701
#SUAMAE	1569	0.207797578075
#SVUnoUC	583	0.24045345912
#SalveJorge	189	0.186553905266
#SandyNaXuxa	68	0.194468627451
#SarauBrasil	635	0.230643183352
#SaudadesRebeldeMéxico	228	0.298510818713
#ScrachoNoAcessoMTV	42	0.242761904762
#ScreamAndShout	271	0.238375461255
#SeEuFosseVocê	8	0.228125
#SeOMundoAcabarEu	434	0.18745218894
#SemVoceNaoSomosNadaGL	129	0.165049095607
#SemVocêBraSo	147	0.299743764172
#SempreAoSeuLado	758	0.164067084433
#SempreAoSeuLadoValentinaF	45	0.101085185185
#SempreComMoniqueAmin	63	0.166023809524
#SempreEstareiContigoIN	10	0.3363
#SevenMusicFestival	225	0.19019037037
#SimplePlanAgainstHumanTrafficking	256	0.23940625
#SimplePlanNoRockInRio2013	427	0.21959960968
#SmileBooBear	1293	0.263874967775
#SoMicNoProgramaDaTarde	953	0.191887023435
#SomicPassadoPresenteFuturoBeijoMãe	37	0.185756756757
#SophiaAbrahaoRalaXotaNoAsfalto	55	0.265888484848
#SophiaChat	1568	0.270677219995
#SophiaOSeuSorrisoÉOQueMeFazFeliz	11	0.429151515152
#SophiaSeuSorrisoÉAAlegriaDoMeuDia	1365	0.277013675214
#StayCeCe	84	0.110838293651
#StayJennel	42	0.183615079365
#StayStrongHarryStyles	8833	0.161691461942
#StayStrongJustin	843	0.0860266310795
#Suburbia	131	0.101906324973
#SuperPopEmClimaDeFunk	30	0.156177380952
#SóMlkDoidoEAConeCrewQueTaNoAr	298	0.123207494407
#SóSeFalaDoClipeDaF292	1607	0.189929060361
#TUITEUMAMUSICACOMXANA	502	0.205480577689
#TWD3naFOX	242	0.159092424242
#TWonChattyMan	3	0.110333333333
#TWonStrictly	14	0.240380952381
#TWontheAMAs	21	0.323968253968
#TXFIsOverWithJennelOut	9	0.230222222222
#TakeMeHome	60	0.282758333333
#TalkToBrazilianOn777	419	0.189187350835
#TartarugaDoPapatinho	207	0.327103059581
#TeAmamosLuaBlanco	1373	0.260002804079
#TeamDemiOnXFactor	2640	0.248123042929
#TeamKumar	12	0.218666666667
#TeamObama	2998	0.257749516344
#Teleton15Anos	1316	0.330908244681
#Teleton15anos	3572	0.386006591612
#TenhoMedoDe	1457	0.139544955388
#TenteCitarTodasMusicasDeJustinBieber	176	0.196196022727
#ThaemeeThiagoNoMegaSenha	96	0.188211458333
#ThaemeeThiagonoMultishow	202	0.20619480198
#ThankYouBritneyArmy	16	0.401677083333
#ThatIshFunny	28	0.235458333333
#TheMagicNeverEnds	734	0.191932811081
#TheVoiceAoVivo	748	0.243351537433
#TheVoiceBrasil	1251	0.23989447109
#TheWantedAtTheCapitalJBB	4	0.23
#TheWantedKILLEDTHEAMAs	110	0.287913636364
#TheXFactor	47	0.105367021277
#TheXFactorOnSony	1186	0.224120236088
#ThiagoAmaralChat	2395	0.238034725122
#ThingsIWantToDoWithTW	105	0.210790476191
#TiaHericaPergunta	591	0.267167073564
#TodaVezQueVouDormirEu	1183	0.239475753733
#TodoDiaEu	360	0.392317824074
#TodoFãDeTVD	2547	0.277339353488
#Top10FavoriteAlbums	2179	0.233049028606
#TorcidaTeamCL	1527	0.229511842393
#TripNoComandoMix	201	0.276809286899
#Tuite12Mentiras	17167	-0.0684331221724
#Tuite1Dica	4354	0.152048337052
#TuiteAlgoMaisGayQueLuanSantana	205	0.0974463414634
#TuiteFrasesDoRacionais	691	0.153113193439
#TuiteUmAnimal	806	0.324327336642
#TvXuxa	424	0.178559748428
#TwiHardForever	719	0.190396175243
#TwilightIsEternity	1153	0.272660017346
#TwilightWillLiveForever	2575	0.236227779935
#TwitcamDeEstreiaBrianESophiaSemVoce	3193	0.21418571354
#UFC154	4043	-0.0175361712778
#UckermannZonaHormiguero	47	0.334641843972
#UllyChat	787	0.317165078357
#UllyCuriosa	10	0.1601
#UmFodaSePara	2	-0.354
#UmaPrincesaSemCoroaVF	7	0.165
#UnionJFollowBackDay	42	0.225563492064
#UnionJLoveJcats	1	0.296
#VAITOMARNOCUGABRIEL	120	0.160864444444
#VaiDesmaiarNaRadioTeen	32	0.189625
#ValentinaMandaBeijoAoRecalque	12	0.307166666667
#ValentinaNoTeleton2012	157	0.359683121019
#VamoFazerFarofa	426	0.250419796557
#VamosFazerFarofa	28	0.292222619048
#VergonhaRecord	35	0.0680323809524
#VictoreLeoDonosDoMeuSorriso	137	0.211875425791
#VoltaRBD	7432	0.323063592124
#VoteBritneysDivas	54	0.174891975309
#VoteBritneysDivasAGAIN	275	0.278336969697
#VoteCarlyRose	90	0.236696296296
#VoteCeCe	176	0.186979924242
#VoteDemiYoungAdults	15	0.295722222222
#VoteE3	211	0.245530015798
#VoteForDemiYoungAdults	6	0.356833333333
#VoteJennel	13	0.281043589744
#VotePaige	144	0.230796412037
#VoteTeamDemi	2200	0.243342234849
#VoteXFactorTonight	164	0.260480691057
#VouDeFUSCA	552	0.175491545894
#WBC	501	0.22310249501
#WalkingDeadDay	270	0.172716666667
#WanessaNoAltasHoras	892	0.211933015695
#WanessaNoLegendarios	267	0.230629837703
#WarriorWonders	26	0.258621794872
#WeLoveLouis	196	0.256071853741
#WeWantDatesDiamondsTourBRAZIL	204	0.219857026144
#WeWantKatyPerryAndRihannaDuet	61	0.276404371585
#WebClipeCW7noAcessoMTV	28	0.220714285714
#WhatMakesMeSmile	2773	0.264043815362
#WorldPeace	117	0.259524928775
#XATIADA	27	0.128
#XFactorDivasTonight	66	0.248974747475
#YouPop	53	0.226405660377
#YoungAdults	4	0.415625
#ZAYNISPERFECT	699	0.284814639962
#ZaynSexyDancerOfBrazil	435	0.258775478927
#altashoras	567	0.243693709583
#asCRÔNICASdeGELOeFOGO	3515	0.24297850166
#askallison	9	0.224185185185
#askcarlyrose	70	0.25005
#askdrew	125	0.298749333333
#askvalentino	8	0.0765625
#boanoitedataty	56	0.204413690476
#bomdia	1447	0.307935129332
#briansophiachat	1316	0.270054964539
#carlyto200k	70	0.329688095238
#caso39	9	0.133851851852
#caçadoradepalavras	2591	0.265114560475
#chatcassiano	8611	0.399336472729
#cite10musicasdaCaitlin	2734	0.302696924095
#cite10musicasdacaitlin	677	0.296411486249
#clipeCoralKemuel	678	0.257358284169
#confessionnight	42	0.104742063492
#confissaodamadrugada	1994	0.151683149448
#confissoesdamadrugada	7969	0.16441259882
#epocadenatal	359	0.245978412256
#fcsqueamo	394	0.249985913706
#followmejennette	147	0.223164399093
#followmezayn	205	0.237071544715
#glee	150	0.101030555556
#hojetemPaulinhoSerranoDeuOle	246	0.358397696477
#ibelievesophied	58	0.225954597701
#ifoundyou	18	0.315814814815
#interact50years	574	0.26150174216
#jcatsarethebestcats	1	0.149
#keatonfollowspree	13	0.204038461538
#laurenfollowspree	12	0.288208333333
#littlethingsnumber1	520	0.235678525641
#loganoncambio	51	0.151081699346
#luachat	632	0.26161089135
#mcfly	134	0.226611318408
#mikalacraiameuovo	334	0.174337075848
#mikleaodourado	234	0.26202991453
#mtvstars	171	0.21266423002
#musicfans	1004	0.282594555113
#nOrcapotAmarnUmbrEka	383	0.149057006092
#notaAosPeito	12	0.13275
#nowplaying	409	0.194160757946
#peopleschoice	421	0.25677810768
#playlistUlly	382	0.26825
#popartist	235	0.346539716312
#proudofbeingapotterhead	40	0.172917916667
#queremosgusttavolimanomelhordobrasil	109	0.320834862385
#questions4ari	14	0.194047619048
#respondebonadio	41	0.238207317073
#rpsp	5324	0.239347927623
#seeufossevc	157	0.23846985138
#slashnomultishow	1827	0.13073757526
#spfc	385	0.267609134199
#teleton15anos	93	0.378073655914
#todofandomtem	237	0.233135021097
#topcufa	819	0.228943569394
#tuiteumfilmecomcouveflor	5	0.2664
#ufc154	29	0.146654597701
#uniãoatleticana	608	0.209356633772
#videoshow	991	0.217349848638
#votedemiyoungadults	23	0.26515942029
#votepaige	23	0.228498550725
#voteteamdemi	123	0.247147696477
#vultnoamanhecer	52	0.220044871795
#xatiada	167	0.148511477046
#xupakogut	41	-0.050512195122
#youpop	5	0.1462
#ÉTudoCulpaDoIPhone	2340	-0.110399864672
#Ídolos	300	0.260226634921
#éGatinhoMas	1205	0.629115214385
#ídolos	334	0.188384131737
08/09	2	-0.812
16/07/12 ❤	2	-0.812
19thEduardoS WeLoveEjhss	1408	0.217150982481
30 Milhões	280	0.285549642857
A Grande Família	90	0.447202962963
A Liah	187	0.293979411765
AACD	6786	0.289698183585
AHS	77	0.130735714286
ASA	339	0.154170452311
Abu Dhabi	490	0.275918683188
Adriano	387	0.277982816537
Ae Cid	6	0.242
AgitacaoLevaMaluESarahProCamarim	66	0.239242424242
Agnaldo Timóteo	526	0.118649873257
Ajax	454	0.188760095448
Al Ahly	12	0.3215
Alejandro Sanz	165	0.321072727273
Alex Alves	3421	0.033655689648
Alice in Chains	368	0.194860552536
Aline Barros	236	0.311654661017
Alonso	1973	0.226633598822
Altas Horas	37	0.221463963964
